TESTACCRANKS:,CAWPE,MLP,NN,SVML,C4.5,Logistic
optical,2.0,3.0,1.0,4.0,6.0,5.0
ozone,2.0,4.0,1.0,3.0,5.0,6.0
page-blocks,2.0,4.0,5.0,6.0,1.0,3.0
parkinsons,2.0,3.0,1.0,4.0,5.0,6.0
pendigits,2.0,6.0,1.0,3.0,5.0,4.0
pima,2.0,4.0,5.0,3.0,6.0,1.0
pittsburg-bridges-MATERIAL,2.0,4.0,1.0,3.0,5.0,6.0
pittsburg-bridges-REL-L,3.0,6.0,1.0,4.0,2.0,5.0
pittsburg-bridges-SPAN,2.0,5.0,3.0,1.0,6.0,4.0
pittsburg-bridges-T-OR-D,1.0,5.0,4.0,2.0,6.0,3.0
pittsburg-bridges-TYPE,1.0,5.0,4.0,2.0,3.0,6.0
planning,2.0,6.0,4.0,3.0,1.0,5.0
plant-margin,1.0,2.0,5.0,4.0,6.0,3.0
plant-shape,1.0,3.0,2.0,4.0,6.0,5.0
plant-texture,1.0,2.0,4.0,5.0,6.0,3.0
post-operative,3.0,6.0,2.0,4.0,1.0,5.0
primary-tumor,1.0,5.0,4.0,3.0,2.0,6.0
ringnorm,1.0,2.0,4.0,6.0,3.0,5.0
seeds,1.0,2.0,5.0,4.0,6.0,3.0
semeion,1.0,3.0,4.0,2.0,6.0,5.0
soybean,1.0,2.0,6.0,3.0,5.0,4.0
spambase,1.0,4.0,6.0,5.0,3.0,2.0
spect,2.0,6.0,3.0,1.0,4.0,5.0
spectf,1.0,5.0,3.0,2.0,4.0,6.0
statlog-australian-credit,3.0,6.0,2.0,1.0,5.0,4.0
statlog-german-credit,3.0,6.0,4.0,2.0,5.0,1.0
statlog-heart,2.0,5.0,3.0,1.0,6.0,4.0
statlog-image,1.0,2.0,3.0,6.0,4.0,5.0
statlog-landsat,1.0,3.0,2.0,4.0,6.0,5.0
statlog-shuttle,3.0,4.0,2.0,6.0,1.0,5.0
statlog-vehicle,1.0,2.0,6.0,4.0,5.0,3.0
steel-plates,1.0,5.0,6.0,3.0,2.0,4.0
synthetic-control,2.0,1.0,4.0,3.0,5.0,6.0
teaching,2.0,6.0,5.0,1.0,3.0,4.0
thyroid,2.0,4.0,6.0,3.0,1.0,5.0
tic-tac-toe,2.0,5.0,1.0,3.5,6.0,3.5
titanic,3.0,4.0,1.0,6.0,2.0,5.0
trains,4.0,3.0,6.0,1.5,5.0,1.5
twonorm,3.0,5.0,4.0,1.0,6.0,2.0
vertebral-column-2clases,1.0,3.0,6.0,5.0,4.0,2.0
vertebral-column-3clases,1.0,3.0,6.0,5.0,4.0,2.0
wall-following,2.0,3.0,4.0,5.0,1.0,6.0
waveform,3.0,5.0,4.0,2.0,6.0,1.0
waveform-noise,3.0,5.0,4.0,2.0,6.0,1.0
wine,2.0,3.0,5.0,1.0,6.0,4.0
wine-quality-red,1.0,3.0,5.0,4.0,6.0,2.0
wine-quality-white,1.0,3.0,2.0,6.0,5.0,4.0
yeast,1.0,4.0,5.0,2.0,6.0,3.0
zoo,1.0,2.0,3.0,5.0,6.0,4.0
